2027,221002333,1421809059,68600792,1479578522,40071427,142662574,347098261,27467171
2028,222022547,1420045580,68799832,1491671049,40385878,142263180,348804850,27717005
2029,222989897,1417974640,68991815,1503470597,40697516,141854940,350493332,27962250
2030,223908968,1415605906,69175770,1514994080,41008596,141432741,352162301,28202414
2031,224778256,1412946005,69351743,1526208890,41319872,141000041,353802974,28437615
2032,225589538,1410012866,69521624,1537108035,41626319,140559555,355412200,28667426
2033,226347402,1406810379,69685135,1547689835,41926289,140115666,356991059,28892146
2034,227053318,1403314815,69842265,1557919806,42218806,139670938,358528775,29112898
2035,227705396,1399547500,69993981,1567802259,42503204,139227987,360016420,29329425
2036,228304039,1395546723,70140305,1577302813,42780162,138790761,361456574,29541523
2037,228848367,1391338420,70282755,1586438621,43051176,138360672,362841838,29750263
2038,229332682,1386952006,70421425,1595245783,43315598,137938508,364161174,29955530
2039,229759755,1382367124,70556285,1603664860,43572770,137521801,365420860,30157199
2040,230132293,1377556938,70689476,1611676333,43822969,137110991,366616240,30355784
2041,230444491,1372522398,70819795,1619318360,44062266,136709408,367749399,30551298
2042,230694805,1367267104,70946133,1626585377,44290533,136317799,368832202,30744528
2043,230886445,1361737252,71067664,1633430529,44510982,135935122,369853049,30935796
2044,231027408,1355912820,71182807,1639837771,44724547,135554900,370815335,31124643
2045,231122502,1349756901,71291518,1645863187,44932177,135171274,371715154,31310778
2046,231169239,1343210240,71391913,1651513758,45134172,134783212,372551915,31493926
2047,231168894,1336262908,71481591,1656777045,45330641,134390857,373335573,31673994
2048,231124440,1328873607,71561147,1661705662,45521680,133988174,374064084,31850587
2049,231031649,1321004205,71629117,1666284995,45708266,133568298,374749589,32023534
2050,230885725,1312636325,71684966,1670490596,45890819,133133035,375391963,32192919
2051,230689680,1303756600,71730549,1674343633,46068624,132680696,375987912,32358849
2052,230451272,1294381091,71765151,1677872877,46243955,132208665,376555047,32522010
2053,230172922,1284539877,71786515,1681073168,46418610,131720512,377101926,32683280
2054,229849391,1274244756,71797771,1683955036,46591933,131217865,377638013,32842393
2055,229479575,1263512555,71800361,1686563352,46763893,130700222,378168263,32998543
2056,229061383,1252371989,71794242,1688894376,46936016,130169445,378696958,33151923
2057,228599513,1240879992,71782643,1690942717,47109533,129627234,379230254,33303997
2058,228102019,1229126156,71765925,1692704323,47284355,129076299,379767172,33454262
2059,227560205,1217157937,71745297,1694150261,47460228,128519549,380310585,33601953
2060,226977378,1205020650,71724019,1695285496,47637601,127957595,380862165,33747588
2061,226358995,1192805228,71702781,1696121513,47818581,127393455,381422296,33891728
2062,225701612,1180553369,71681471,1696684915,48002082,126828583,381995488,34034206
2063,225006278,1168316258,71663067,1696976687,48186580,126266229,382586899,34174679
2064,224269707,1156145638,71649323,1696961377,48373234,125708193,383191211,34313450
2065,223490611,1144050917,71639280,1696634194,48562184,125152477,383800543,34450720
2066,222670472,1132053398,71630436,1695973647,48752676,124601187,384412101,34586466
2067,221810663,1120182122,71623268,1694997002,48943491,124056898,385023531,34719971
2068,220910559,1108424585,71620264,1693712648,49133876,123525046,385634475,34852217
2069,219974201,1096787141,71620599,1692129032,49323233,123004018,386231712,34983729
2070,219007260,1085287617,71621357,1690230782,49510916,122489972,386805309,35113058
2071,218010952,1073902382,71622565,1687990290,49696106,121987126,387371861,35239192
2072,216980861,1062612890,71624760,1685415100,49878406,121497299,387925372,35362319
2073,215916339,1051380906,71625981,1682564509,50058213,121020281,388448573,35483223
2074,214826655,1040194852,71624894,1679449251,50235437,120554337,388936916,35602050
2075,213716322,1029035605,71619405,1676034859,50408171,120100789,389390579,35718440
2076,212589155,1017860468,71608596,1672328379,50575618,119660728,389810991,35831823
2077,211445707,1006663149,71593428,1668352090,50738643,119232643,390199573,35941629
2078,210288052,995438005,71573073,1664100421,50897357,118818000,390559280,36048135
2079,209120149,984185394,71546858,1659592793,51052193,118417124,390882693,36151694
2080,207939627,972906892,71515890,1654856931,51202541,118030379,391168465,36252872
2081,206748793,961612985,71479038,1649862775,51348901,117656213,391424375,36351404
2082,205552661,950338414,71435804,1644678016,51492029,117292124,391652800,36446618
2083,204356676,939100122,71389178,1639364772,51632492,116940031,391856941,36538880
2084,203159270,927912386,71339567,1633888926,51770455,116601011,392042507,36629440
2085,201958631,916808802,71286564,1628242630,51904994,116274231,392209373,36719831
2086,200761074,905821025,71230677,1622427556,52037317,115958095,392363616,36808950
2087,199565865,894960252,71172697,1616451904,52168306,115652642,392505046,36896433
2088,198374221,884243881,71114598,1610366035,52297522,115356684,392635564,36983114
2089,197187922,873694710,71056650,1604195811,52425424,115068352,392763501,37069213
2090,196003175,863319535,70999507,1597908861,52552741,114785573,392882584,37156043
2091,194821799,853111777,70943206,1591484819,52680580,114508299,392999144,37244135
2092,193647400,843067032,70887329,1584943121,52810045,114237495,393119132,37333372
2093,192480453,833162188,70832993,1578296205,52941166,113969018,393236593,37424355
2094,191321249,823380978,70780599,1571569451,53074202,113699861,393353698,37516818
2095,190168392,813718728,70729521,1564797337,53208819,113429989,393473602,37609981
2096,189025646,804153594,70680133,1557945219,53344647,113158372,393602753,37704899
2097,187896665,794673479,70631042,1551000309,53482776,112885713,393728779,37800882
2098,186775040,785270314,70582507,1543990229,53622294,112612788,393843026,37896276
2099,185658505,775944429,70534904,1536933462,53762154,112339929,393946323,37992429
2100,184547593,766673270,70485072,1529850119,53903779,112068747,394041155,38089401
